ds_ind_id,cluster_id
1,bundle-000001
64140,bundle-000001
5,bundle-000002
18,bundle-000003
48780,bundle-000003
54,bundle-000004
24563,bundle-000004
68,bundle-000005
14111,bundle-000005
69,bundle-000006
15598,bundle-000006
70,bundle-000007
5000,bundle-000007
115,bundle-000008
3109,bundle-000008
119,bundle-000009
125,bundle-000010
47409,bundle-000010
51334,bundle-000010
131,bundle-000011
6888,bundle-000011
149,bundle-000012
32279,bundle-000012
157,bundle-000013
33474,bundle-000013
162,bundle-000014
1760,bundle-000014
178,bundle-000015
15382,bundle-000015
203,bundle-000016
213,bundle-000017
59176,bundle-000017
214,bundle-000018
44832,bundle-000018
215,bundle-000019
233,bundle-000020
34567,bundle-000020
43495,bundle-000020
242,bundle-000021
40450,bundle-000021
268,bundle-000022
47796,bundle-000022
271,bundle-000023
33414,bundle-000023
272,bundle-000024
275,bundle-000025
281,bundle-000026
36358,bundle-000026
287,bundle-000027
2683,bundle-000027
289,bundle-000028
291,bundle-000029
51064,bundle-000029
302,bundle-000030
32668,bundle-000030
33843,bundle-000030
45337,bundle-000030
304,bundle-000031
37437,bundle-000031
308,bundle-000032
26396,bundle-000032
48201,bundle-000032
315,bundle-000033
318,bundle-000034
22326,bundle-000034
332,bundle-000035
2370,bundle-000035
338,bundle-000036
345,bundle-000037
352,bundle-000038
369,bundle-000039
19891,bundle-000039
387,bundle-000040
57709,bundle-000040
401,bundle-000041
14561,bundle-000041
27223,bundle-000041
38331,bundle-000041
49593,bundle-000041
432,bundle-000042
433,bundle-000043
441,bundle-000044
450,bundle-000045
8618,bundle-000045
50227,bundle-000045
474,bundle-000046
22780,bundle-000046
478,bundle-000047
4520,bundle-000047
487,bundle-000048
507,bundle-000049
61782,bundle-000049
512,bundle-000050
523,bundle-000051
538,bundle-000052
540,bundle-000053
9023,bundle-000053
561,bundle-000054
35805,bundle-000054
568,bundle-000055
17516,bundle-000055
571,bundle-000056
59467,bundle-000056
607,bundle-000057
15454,bundle-000057
628,bundle-000058
637,bundle-000059
638,bundle-000060
40132,bundle-000060
640,bundle-000061
33216,bundle-000061
643,bundle-000062
1451,bundle-000062
646,bundle-000063
16649,bundle-000063
651,bundle-000064
60256,bundle-000064
655,bundle-000065
