ds_ind_id,cluster_id
1,bundle-000001
64140,bundle-000001
54,bundle-000002
3178,bundle-000002
8707,bundle-000002
24563,bundle-000002
26223,bundle-000002
44574,bundle-000002
64165,bundle-000002
68,bundle-000003
4057,bundle-000003
14111,bundle-000003
20169,bundle-000003
69,bundle-000004
15598,bundle-000004
70,bundle-000005
5000,bundle-000005
24624,bundle-000005
27757,bundle-000005
39219,bundle-000005
57717,bundle-000005
131,bundle-000006
6888,bundle-000006
149,bundle-000007
32279,bundle-000007
162,bundle-000008
1760,bundle-000008
5745,bundle-000008
214,bundle-000009
44832,bundle-000009
242,bundle-000010
40450,bundle-000010
268,bundle-000011
47796,bundle-000011
271,bundle-000012
7862,bundle-000012
33414,bundle-000012
287,bundle-000013
25025,bundle-000013
33107,bundle-000013
63422,bundle-000013
289,bundle-000014
7161,bundle-000014
61558,bundle-000014
291,bundle-000015
51064,bundle-000015
302,bundle-000016
9882,bundle-000016
13840,bundle-000016
26216,bundle-000016
27617,bundle-000016
32668,bundle-000016
33843,bundle-000016
41264,bundle-000016
45337,bundle-000016
304,bundle-000017
37437,bundle-000017
308,bundle-000018
16792,bundle-000018
48201,bundle-000018
50838,bundle-000018
369,bundle-000019
19891,bundle-000019
401,bundle-000020
15979,bundle-000020
19184,bundle-000020
25605,bundle-000020
49593,bundle-000020
54799,bundle-000020
478,bundle-000021
4520,bundle-000021
7856,bundle-000021
12362,bundle-000021
36783,bundle-000021
507,bundle-000022
25382,bundle-000022
61782,bundle-000022
540,bundle-000023
9023,bundle-000023
561,bundle-000024
22186,bundle-000024
28015,bundle-000024
35805,bundle-000024
607,bundle-000025
15454,bundle-000025
37186,bundle-000025
640,bundle-000026
33216,bundle-000026
643,bundle-000027
1451,bundle-000027
646,bundle-000028
16649,bundle-000028
676,bundle-000029
5283,bundle-000029
679,bundle-000030
1588,bundle-000030
20595,bundle-000030
41635,bundle-000030
702,bundle-000031
20567,bundle-000031
41818,bundle-000031
62229,bundle-000031
63953,bundle-000031
707,bundle-000032
3978,bundle-000032
28097,bundle-000032
779,bundle-000033
6154,bundle-000033
40987,bundle-000033
47831,bundle-000033
812,bundle-000034
12577,bundle-000034
25970,bundle-000034
825,bundle-000035
4722,bundle-000035
