R7179,R9641
R14936,R7932
R6657,R8085
R2244,R4203
R10841,R9874
R11218,R12967
R10482,R12287
R5302,R6250
R13808,R14559
R10934,R15830
R17061,R9880
R3357,R6735
R13765,R15663
R11109,R16268
R5504,R7910
R1488,R6732
R1876,R2909
R3807,R409
R13513,R16813
R15914,R16627
R11523,R12451
R7979,R9977
R10216,R9209
R11853,R16238
R3705,R8025
R11388,R15816
R5423,R6845
R10355,R8895
R14353,R9135
R14055,R17266
R7703,R9714
R7579,R9057
R1116,R3106
R4933,R8334
R3342,R4317
R11310,R15011
R1766,R3242
R10386,R9391
R14465,R16581
R11714,R12615
R12065,R13739
R5372,R7207
R10298,R11198
R15332,R17081
R15550,R17245
R13358,R7358
R16244,R17521
R2258,R3760
R1420,R51
R1286,R351
R14948,R16422
R14254,R17426
R1355,R368
R13422,R16405
R8682,R9663
R2491,R3902
R10282,R4935
R4713,R6679
R3313,R6186
R6401,R7374
R7278,R9203
R4909,R5769
R12220,R13482
R5695,R7109
R14447,R9263
R229,R4540
R11586,R9672
R5520,R7954
R12415,R6238
R14710,R16893
R10235,R3920
R7990,R9476
R14602,R15353
R6732,R8276
R10812,R13019
R13100,R9519
R11567,R9212
R3213,R4615
R10795,R11677
R2790,R3801
R11265,R12992
R10169,R11077
R3264,R7042
R10807,R5979
R11426,R3216
R10368,R13836
R12289,R7060
R12874,R15947
R2909,R952
R11757,R17419
R11170,R16508
R14713,R15476
R11074,R9718
R16255,R16577
R14865,R15950
R12771,R6157
R13647,R14079
R14293,R17142
R13704,R16964
R10578,R4758
R15276,R17561
R206,R668
R3981,R4889
R11120,R12888
R3724,R4198
R2017,R8324
R10757,R9340
R7530,R7975
R11054,R11515
R2831,R3850
R10588,R10962
R13593,R8088
R6884,R7870
R3849,R832
R14644,R9494
R15488,R16541
R5210,R6180
R4031,R7389
R16231,R16563
R13022,R16776
R13498,R14959
R10209,R8315
R2556,R3053
R15453,R16208
R10974,R6621
R10742,R5896
R6811,R8775
R2454,R6331
R11665,R13760
R4512,R7917
R5380,R8233
R11794,R15042
R13786,R8847
R5346,R8729
R3494,R4916
R10386,R11264
R11069,R8722
R11747,R13479
R10788,R12151
R12196,R14948
R13897,R15769
R8466,R8969
R3001,R7345
R13807,R17378
R10706,R3981
R11528,R5807
R13243,R15200
R4372,R5292
R4113,R5529
R14400,R17247
R3863,R5845
R5238,R7723
R7911,R9946
R10498,R14309
R12238,R15057
R2069,R3046
R2493,R5874
R10941,R7088
R11037,R11940
R7883,R8855
R6385,R8389
R16191,R17600
R4513,R6458
R11385,R12310
R11329,R3192
R16492,R16823
R10856,R7575
R11183,R7322
R3818,R8116
R17045,R17352
R4961,R7389
R3834,R4757
R4541,R6951
R4763,R6175
R4007,R4935
R10449,R5115
R10182,R8211
R11649,R3002
R13543,R14300
R14511,R9346
R2565,R9437
R2902,R3984
R1519,R3485
R5967,R7901
R1080,R2051
R10671,R14034
R11252,R13806
R3481,R4477
R10420,R7966
R15607,R17311
R11800,R11802
R2482,R3454
R8364,R9352
R1725,R8043
R13318,R17303
R11602,R9794
R10261,R4010
R15149,R15846
R3415,R5378
R1872,R4445
R4155,R4635
R13245,R8308
R10697,R8684
R14531,R16391
R12018,R7289
R6094,R7059
R12082,R16725
R4537,R7429
R16009,R17555
R12867,R5633
R12901,R9699
R12043,R17307
R10332,R9381
R1034,R42
R1668,R262
R11736,R13422
R3638,R4518
R10628,R8228
